product_code,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
6111035000430,0.33,Low Calorie,Moderate Sugar,No
6111242100992,,Low Calorie,Unknown,No
6111035002175,,Unknown,Unknown,No
6111035000058,,Unknown,Unknown,No
6111252421568,,Low Calorie,Low Sugar,No
6111266962187,0.0,Low Calorie,Low Sugar,No
3274080005003,,Low Calorie,Low Sugar,No
6111246721261,0.0,Low Calorie,Low Sugar,No
6111242101180,0.0,Low Calorie,Low Sugar,No
6111242106949,0.0,Moderate Calorie,Low Sugar,Yes
6111128000071,,Low Calorie,Low Sugar,No
6111035502828,,Low Calorie,Low Sugar,No
6111035000027,,Low Calorie,Low Sugar,No
50184453,0.04,Moderate Calorie,Low Sugar,Yes
6111242100985,0.0,Low Calorie,Low Sugar,No
6111032009665,0.0,Low Calorie,Low Sugar,No
6111099003897,0.0,High Calorie,Low Sugar,No
5449000054227,1.0,Low Calorie,Moderate Sugar,Yes
6111252421582,,Low Calorie,Low Sugar,No
7622210449283,0.46,High Calorie,High Sugar,Yes
3046920029759,0.5,High Calorie,Low Sugar,No
3046920028004,0.88,High Calorie,High Sugar,No
6111035003035,,Unknown,Unknown,No
3017620425035,0.98,High Calorie,High Sugar,Yes
5449000147417,1.83,Low Calorie,Moderate Sugar,Yes
6111031005064,0.56,Low Calorie,Low Sugar,No
6111180000231,0.0,Low Calorie,Low Sugar,Yes
6111128000163,,Low Calorie,Low Sugar,No
3175680011480,0.27,High Calorie,Moderate Sugar,Yes
6111162000839,1.03,Moderate Calorie,High Sugar,No
6111035001659,,Unknown,Unknown,No
6111242100206,0.0,Low Calorie,Low Sugar,No
8410376009392,0.01,High Calorie,Low Sugar,Yes
3046920028363,0.57,Low Calorie,Low Sugar,No
6111035001635,,Low Calorie,Low Sugar,No
6111184004129,0.23,High Calorie,Low Sugar,Yes
5025125000006,0.03,Moderate Calorie,Low Sugar,No
5411188112709,,Low Calorie,Low Sugar,Yes
6111128000460,,Unknown,Unknown,No
20995553,0.33,Low Calorie,Low Sugar,Yes
3268840001008,,Low Calorie,Unknown,No
3017620422003,0.98,High Calorie,High Sugar,Yes
5025125000112,0.02,Moderate Calorie,Low Sugar,No
20005733,0.81,High Calorie,Low Sugar,No
5025125000037,0.03,Moderate Calorie,Low Sugar,No
6111203006653,1.0,Moderate Calorie,Low Sugar,Yes
20724696,1.0,High Calorie,Low Sugar,No
6111184001562,,Unknown,Low Sugar,No
6111184004730,0.87,Low Calorie,Moderate Sugar,No
6111029000118,1.0,High Calorie,High Sugar,No
20267605,0.19,High Calorie,Low Sugar,No
3362600011044,0.32,High Calorie,Moderate Sugar,Yes
6111032001003,0.64,Low Calorie,Low Sugar,No
6111032000600,,Low Calorie,Unknown,No
5449000214911,1.0,Low Calorie,Moderate Sugar,Yes
6111242100305,0.12,Low Calorie,Low Sugar,Yes
5449000061515,,Low Calorie,Low Sugar,No
42104964,,Low Calorie,Low Sugar,No
8425197712024,0.94,High Calorie,High Sugar,Yes
6111128000088,,Low Calorie,Low Sugar,No
6111246721278,0.0,Moderate Calorie,Low Sugar,No
5740900404465,1.0,High Calorie,Low Sugar,No
6111035003523,,Low Calorie,Low Sugar,No
6111035003004,,Low Calorie,Low Sugar,No
7622210578464,0.81,High Calorie,High Sugar,No
6111246954461,0.57,Low Calorie,Low Sugar,Yes
6111259343108,0.52,High Calorie,High Sugar,No
6111018903161,,Unknown,Unknown,No
6111032006619,0.73,Low Calorie,Low Sugar,Yes
6111251420166,,Low Calorie,Low Sugar,No
6111252421575,1.0,Low Calorie,Low Sugar,No
8445290615350,0.58,Low Calorie,Low Sugar,Yes
5449000214799,,Low Calorie,Low Sugar,Yes
3362600011228,0.32,Low Calorie,Moderate Sugar,Yes
5000157024671,0.39,Low Calorie,Low Sugar,Yes
6111035001673,,Low Calorie,Low Sugar,No
20047238,0.66,High Calorie,Low Sugar,No
5411188124689,0.0,Low Calorie,Low Sugar,Yes
7394376616228,0.48,Low Calorie,Low Sugar,No
6111250470742,0.0,Low Calorie,Low Sugar,No
6111203001467,0.0,High Calorie,Low Sugar,Yes
7300400481595,0.02,Moderate Calorie,Low Sugar,No
3046920022651,0.86,High Calorie,High Sugar,No
6111037000599,0.0,High Calorie,Low Sugar,Yes
6111184001661,1.0,Low Calorie,Low Sugar,No
6111032008583,0.62,Low Calorie,Low Sugar,No
8052575090230,0.94,High Calorie,High Sugar,Yes
3608580065340,0.96,High Calorie,High Sugar,Yes
5060042641000,0.01,High Calorie,Low Sugar,No
5010029000016,0.06,Low Calorie,Low Sugar,No
7622210584724,0.58,Low Calorie,Low Sugar,No
3057640257773,,Low Calorie,Low Sugar,No
6111162001218,1.0,Low Calorie,Low Sugar,No
3046920022606,0.68,High Calorie,Moderate Sugar,No
3155251205296,,High Calorie,Low Sugar,Yes
6111251753912,0.26,Low Calorie,Low Sugar,No
6111248360130,,Low Calorie,Low Sugar,No
6111003031107,0.27,Low Calorie,Low Sugar,No
3229820100234,0.42,High Calorie,High Sugar,Yes
6111184001074,0.98,Moderate Calorie,High Sugar,Yes
20022464,0.81,High Calorie,High Sugar,Yes
5449000206770,,Unknown,Low Sugar,No
6111184001197,,High Calorie,Low Sugar,No
3760020507350,0.42,High Calorie,Low Sugar,No
5449000036872,0.95,Low Calorie,Low Sugar,No
6111242100220,0.88,Low Calorie,Low Sugar,No
8715035110106,0.2,Low Calorie,Low Sugar,No
3329770077003,1.0,Low Calorie,Low Sugar,No
5013665100065,0.0,Moderate Calorie,Low Sugar,No
6111184000619,0.23,High Calorie,Low Sugar,No
6923818812082,0.4,Low Calorie,Low Sugar,No
3760049798609,0.11,Moderate Calorie,Low Sugar,Yes
6111099000599,,High Calorie,Low Sugar,No
8052575090254,0.94,High Calorie,High Sugar,Yes
5025125000129,0.06,Moderate Calorie,Low Sugar,No
7300400481588,0.04,Moderate Calorie,Low Sugar,No
7311070032611,0.02,High Calorie,Low Sugar,Yes
3029330022428,0.09,Moderate Calorie,Low Sugar,Yes
3362600011006,0.32,Moderate Calorie,Moderate Sugar,Yes
6111162000716,0.74,Moderate Calorie,High Sugar,No
8076809513753,0.45,High Calorie,Low Sugar,Yes
5411188110835,1.0,Low Calorie,Low Sugar,Yes
3168930010265,0.21,High Calorie,Moderate Sugar,Yes
6111259341197,0.39,High Calorie,High Sugar,Yes
16256163,0.98,High Calorie,High Sugar,Yes
6111184007618,0.77,Moderate Calorie,Moderate Sugar,No
50457236,0.97,Low Calorie,Low Sugar,No
5410041001204,0.1,Low Calorie,Low Sugar,Yes
6111251420135,,Low Calorie,Unknown,No
6111180000392,0.92,Moderate Calorie,High Sugar,No
3017620429484,0.98,High Calorie,High Sugar,Yes
6111031005552,0.71,High Calorie,High Sugar,Yes
8000500310427,0.56,High Calorie,High Sugar,Yes
6111032001010,inf,Low Calorie,Moderate Sugar,No
6111099005396,0.0,High Calorie,Low Sugar,Yes
