product_code,product_name,brand
6111035000430,Sidi Ali,Sidi Ali
6111242100992,Perly,Jaouda
6111035002175,Sidi Ali,sidi ali
6111035000058,Eau minérale naturelle,"Les Eaux Minérales d'oulmès,Sidi Ali"
6111252421568,اكوافينا,AQUAFINA
6111266962187,Lait,Jaouda
3274080005003,Eau De Source,Cristaline
6111246721261,Fromage blanc nature,MILKY FOOD PROFESSIONAL
6111242101180,uht jaouda 1L,Jaouda
6111242106949,Jben,Jaouda
6111128000071,Ain Saïss,Danone
6111035502828,Eau minéral naturelle,Ain atlas
6111035000027,6111035000027,Sidi Ali
50184453,Marmite Yeast Extract,"Marmite,Unilever"
6111242100985,,Jaouda
6111032009665,Lait Frais,centrale danone
6111099003897,,lilia
5449000054227,Original Taste,Coca-Cola
6111252421582,اكوافينا,pepsi
7622210449283,Prince Goût Chocolat,Lu
3046920029759,Lindt Excellence 90%,Lindt&Sprüngli
3046920028004,70% chocolate,Lindt & Sprüngli
6111035003035,Oulmes natural carbonated water,Les eaux minérales d'Oulmès S.A.
3017620425035,Nutella,Ferrero
5449000147417,Orange juice,Coca cola
6111031005064,Tonik,Bimo
6111180000231,levure pâtisserie,
6111128000163,Ain Saiss Eau Minerale Naturelle,Danone
3175680011480,Sésame,Gerblé
6111162000839,Confiture de fraise,Délicia
6111035001659,Ain Atlas,Eau minérale naturelle des Montagnes d'Atlas
6111242100206,Yaourt nature,Jaouda
8410376009392,zero sin azúcares Fibra,Gullón
3046920028363,Excellence 85% Cacao Rich Dark,Lindt EXCELLENCE
6111035001635,Ain Atlas,Eau minérale naturelle
6111184004129,Mayonnaise recette originale,Star
5025125000006,Sourdough White Ciabattin Bread,Jason’s
5411188112709,Geröstete Mandel Ohne Zucker,alpro
6111128000460,,aïn Saiss
20995553,Chocolat noir - 85% cacao,J.D. Gross
3268840001008,CRISTALINE Eau De Source 0.5L,Cristaline
3017620422003,Nutella,Ferrero
5025125000112,Proper Sourdough,Jason's Sourdough
20005733,Cerneaux de Noix,Alesto
5025125000037,Sourdough Grains & Seeds,Jason's
6111203006653,Cheddar,la Hollandaise
20724696,Mandeln,"Alesto,Lidl,Finch"
6111184001562,Star Branded Iodized Salt,Star
6111184004730,Ketchup star 310 g,Star
6111029000118,Cosumar Sucre En Lingot Pour Le Thé 1 kg,COSUMAR
20267605,Cashewkerne,"Alesto, 12 x Lidl 10.25"
3362600011044,Henry’s,Henry's
6111032001003,Assil,Danone
6111032000600,Salim,Salim
5449000214911,Coca-Cola,Coca-Cola
6111242100305,Cremy,jaouda
5449000061515,Ciel,THE COCA-COLA COMPANY
42104964,Ciel 33cl,Ciel
8425197712024,,Maruja
6111128000088,ain saiss 50cl,Danone
6111246721278,Cream cheese,Original
5740900404465,Spreadable Slightly Salted,Lurpak
6111035003523,,BAHIA
6111035003004,Oulmes Eau Gazeuse,Oulmès
7622210578464,Organic 70% Dark Chocolate Bar,Green & Black's
6111246954461,jibal jben,jibal
6111259343108,KING COOKIES,Excelo
6111018903161,Nescafé Classic,Nestlé
6111032006619,Jamila رايبي,Danone
6111251420166,Eau,Aïn lfrane
6111252421575,Aquafina 50cl,Aquafina
8445290615350,sauce tomate cuisinée,solis
5449000214799,Coke Zero,Coca-Cola
3362600011228,Sable coco Henry s 42g,Henry's
5000157024671,BEANZ In a rich tomato sauce,HEINZ
6111035001673,Aïn Atlas 50cl,Aïn Atlas
20047238,,Alesto Selection
5411188124689,Hafer Milch,Alpro
7394376616228,Oat Drink Barista Edition,Oatly
6111250470742,Lait U.H.T entier,Dost
6111203001467,margarine la prairie 225g,la Prairie
7300400481595,Tartine croustillante Authentique,wasa
3046920022651,Excellence Noir Intense 70% Cacao,Lindt
6111037000599,Familia 200g,
6111184001661,Star vinaigre de table BLANC,Star
6111032008583,,Gervais
8052575090230,Nocciolata,Rigoni Di Asiago
3608580065340,Pâte à tartiner noisettes et cacao,Bonne Maman
5060042641000,Lightly sea salted crisps,Tyrrell's
5010029000016,Weetabix,Weetabix
7622210584724,Dark chocolate,Green and black
3057640257773,Eau Minérale Naturelle,Volvic
6111162001218,Filets de maquereau,joly
3046920022606,Excellence Noir Puissant 85% Cacao,Lindt
3155251205296,Tartine Doux,Primevère
6111251753912,611251753912,sos
6111248360130,Aïn Soltane,سلطان
6111003031107,,8dh
3229820100234,Fourrés Chocolat Noir,Bjorg
6111184001074,Confiture De Fraises 430 G,El Baraka
20022464,extra dark 74% Cocoa,fin CARRÉ
5449000206770,Eau de table,Ciel
6111184001197,,Star
3760020507350,Pur beurre de cacahuète,"Jardin Bio, Léa Nature"
5449000036872,Hawai Tropical,"Hawai,Coca cola"
6111242100220,Lait Entier UHT,Jaouda
8715035110106,Sojasauce,Kikkoman
3329770077003,Skyr nature 0%,Yoplait
5013665100065,Organic Lightly Salted Wholegrain Low Fat Rice Cakes,Kallo
6111184000619,Mayonnaise,Star
6923818812082,Green Tea,green tea
3760049798609,Pain de mie grandes tranches Seigle & Graines 500g,La Boulangère
6111099000599,,lio
8052575090254,Nocciolata bio,Rigoni di Asiago
5025125000129,JASON'S SOURDOUGH 07 SUPERB SPROUTED GRAINS,JASON'S
7300400481588,FIBRES,Wasa
7311070032611,Krisprolls complets sans sucres ajoutés,Krisprolls
3029330022428,14 Maxi Tranches complet sans sucres ajoutés,Jacquet
3362600011006,Henry’s,Henry’s
6111162000716,Confiture d'abricot,Delicia
8076809513753,PESTO alla GENOVESE,Barilla
5411188110835,Mandelmilch mit Zucker,alpro
3168930010265,cruesly mélange de noix,Quaker
6111259341197,Momo black,Excelo
16256163,poulain,Poulain
6111184007618,,Star
50457236,Tomato Ketchup,Heinz
5410041001204,Original,"LU, Mondelēz, Tuc, Mondelez"
6111251420135,Aïn Ifrane,
6111180000392,,Idéal
3017620429484,Nutella,"Ferrero, Nutella"
6111031005552,Merendino,"Bimo,Mondelez"
8000500310427,Biscuits croquants au coeur onctueux de Nutella®,nutella
6111032001010,DANONE ASSIL BANANE,Danone
6111099005396,مارغرين المائدة,Lilia
16256866,1848 Chocolat en poudre,Poulain
6111206000733,Jebli,"Centrale, Danone, Jebli"
6111184000213,El Baraka Confiture D'abricots 430 G,el baraka
8002270014901,S. Pellegrino Water,"Nestlé,Nestlé Waters,San Pellegrino"
59032823,nutella,"Ferrero,Nutella"
6111018501480,Nescafé,Nescafe
3155250358788,Primevère bio doux tartine & cuisson,Primevère
50160884,Vegan Bouillon powder,Marigold
6111259340992,Eyoo cover,EXCELO
6111242100930,raibi jaoda,Jaouda
3068320123264,La salvetat,"Danone,La Salvetat"
6111242102781,Tendre nature,"Tendre, jouda"
4056489148739,NATURAL YOGURT,Milbona Lidl
6111242103702,Yaourt Grec Muesli,Jaouda
6175700,Tartines craquantes au sarrasin imp,"Ekibio,Le pain des Fleurs"
5010265002911,Dark Rye Crispbread,Ryvita
6111032008453,Danino,Danone
5449000131805,Coca-Cola Zero,Coca-Cola
3608580124047,Be Nuts ! - Pâte à tartiner Cacahuète,Andros
6111214004747,Pipas,
3175681851849,Pomme 🍏 🍎 Noisette🥜,Gerblé
54491472,"coca cola 0,5",Coca-Cola
3451790988677,Le Beurre Tendre Doux,"Elle & Vire, Savencia"
5010029000801,Family Pack,Weetabix
6111242101050,LBEN CARTON PASTEURISER,Jaouda
20003166,OAT FLAKES Fine,CROWNFIELD
5013665112273,Organic Vegetable Stock Cubes,Kallø
6111250012416,Le bon lait,Albane
5411188115366,Oat,Alpro
10596975,4 Garlic & Herb Kebabs,Wicked Kitchen
6111252860077,Trios,Aperitivos company
6111245591063,Dalaa 550 feuilles,
6111242100817,Le Lait demi écrémé,Jaouda
20095291,Dark Chocolate 70%,"J.D. Gross,Lidl"
3229820019307,Flocons d'avoine,Bjorg
5034467000216,Tofoo Naked,The Tofoo Co.
80176800,Nutella,Ferrero
6111126003821,Lait Frais 15 jours,Chergui
6111035003509,"Bahia, Eau De Table",Bahia
3480341000674,Carré Frais,Elle & Vire
6111203001474,La prairie classique,margafrique
8410076801180,Crunchy oats & honey,Nature Valley
4008400401621,nutella,Ferrero
6111032000631,Salim,
80052760,Kinder Bueno 2 Bars,"Kinder,Kinder Bueno"
6111242102002,Ghilal Yaourt zr3,Jaouda
3251490332080,Figue & son,Gerblé
3175680015228,Levure de bière,Gerblé
3229820160672,Croustillant Chocolat,Bjorg
5449000133328,,Coca-Cola
5449000131836,Coca-Cola Zero Sugar,Coca-Cola
3760049790214,Pain De Mie Bio,"La Boulangère,La Boulangère Bio"
20006105,Wholegrain Rye Bread,"Lidl,Lidl Rowan Hill Bakery,Lidl Tastino,Rowan Hill Bakery"
3046920028721,Bitter Extra Kraftig,"Lindt&Sprüngli, Lindt"
5010003064744,Seed Sensations,Hovis
3019081238643,Sardines Huile d'Olive Vierge Extra,Parmentier
5449000000439,Coca-Cola,Coca-Cola
6111024001516,"Huile de table équilibrée riche en vitamines A,E,D3",Lesieur
7613035040823,Nestlé Dessert,Nestlé
6111259342828,Petit beurre,Bé
3257971309114,Eau minérale naturelle,Mont Roucous
7322540548563,jempo,
7640154260283,,
3256540000698,Pains au lait x10,Pasquier
8000500179864,Nutella,"Ferrero,Nutella"
3045140105502,Chocolat au lait,Milka
50457250,Tomato Ketchup,Heinz
6111184001203,Moutarde 10.50 g,Star
5020364010113,Bakery Co. 5 The Original Bagels,New York Bakery Co
42105220,Coca Cola,Coca-Cola
5036589252450,Yeo Valley Organic kefir natural fermented yogurt,Yeo Valley Organic
3033710073467,RICORE Original,"Nestlé, Ricore"
3284230006408,Brioche Tranchée Bio 400g,La Boulangère
6111242103528,Croissance réduit en sucre,Jaouda
7622201693916,Philadelphia,Mondelez International
6111242105331,Beurre Frais Pasteurisé,Jaouda
6111035502941,Eau minérale naturelle gazeuse,les Eaux Minérales d’Oulmes
3225350000501,Pulco Citron,"Orangina Schweppes France,Pulco,Schweppes International Limited"
87157215,Tomato Ketchup,Heinz
40896243,Bio Chocolat Noir Cacao 70%,Fairglobe
50457243,Tomato Ketchup,Heinz
8722700479475,Real Mayonnaise,Hellmann's
6111259343344,King cookies choco,Excelo
10614594,Granatapfel Sauerkirsche Fruchtgummi,Deli Originals Fresh
8719200237902,Vegetable Fat Spread with 10% Olive Oil,Bertolli
8076809523547,Pesto Rosso,Barilla
3088543506255,Sirop d'Agave,Sunny Via
3480341000636,Carré Frais - Nature,Elle&Vire
8718114724485,Mayonnaise,Hellmann's
6111250474405,Peripella,Peripella
6111242102767,Yaourt tendre,
5411188103387,Vanille au soja,alpro
3760091727732,Beurre bio cacahuète,Ethiquable
5010029000023,Weetabix produit à base de blé complet 100%,Weetabix
4056489346357,Bio lait d'amande,VEMONDO
5201054017432,5% Greek Yogurt,Fage
4088600247519,Wheat Bisks,Harvest Morn
5057967395088,Rye & Mixed Seed Sourdough Bread,Tesco
90382383,Cappy pulpy,Coca-Cola Company
6111246953679,,Jibal
3587220002252,La gâche tranchée,La Fournée Dorée
3046920029780,Excellence Noir Subtil Doux 70% Cacao,Lindt
6111250472241,Bol Bol Ketchup,Bol&Bol
6111260230619,Tranches Au Goût Cheddar,Ideal
6111246651261,,
3366321052386,st hubert bio & végétal,st hubert
5053990101597,Sour Cream & Onion,Pringles
6111184003276,Assaisonnement aromatisé au citron,Star
3229820129488,"Muesli Raisin, Figue, Abricot",Bjorg
7613039490266,Nesquik,Nestlé
3033710084913,Arome MAGGI,"Nestlé, Maggi"
3327272107969,Menguy's Peanut 100%,Menguy's
6111246250013,Levure rafiaa,
3088542500285,Sirop d'érable ambré goût riche,Maple Joe
3760049791006,Tartines campagne 450g,La boulangere
4008400404127,Nutella,Ferrero
6111242101272,Muscly la force pour grandir,Jaouda
8410510012196,Chocolat Noir 92% cacao,Dark Excellente
4056489007180,pain de mie grandes tranches spécial sandwich complet,"Maître Jean Pierre, Lidl"
4088600246291,Seeded Sourdough Bread,Specially Selected
7622210601988,Granola L'Original,"LU, Mondelez International"
5410126006957,Biscoff Creamy,Lotus
6111242104198,PRESSup ORANGE 1L,jaouda
6111021090049,Concentré de tomates Aicha,Aicha
6111251753899,Olla,Olla
3041090063206,Cracotte Céréales Complètes,"lu, LU"
20815394,Fruit & Nut Mix,"Alesto,Lidl"
5010477348678,Special Muesli 30% fruits & noix,Jordans
6111250470209,,VIP
5011273040698,Runny Honey imp,Rowse
6111035001024,Oulmès eau minerale naturellement gazeuse,ولماس ماء معدني غازي طبيعي
5059697731860,Ecuador dark chocolate,Tesco finest
4016241030573,Skyr | Natural Fat Free | 0% Fat,Arla
5017764128104,Chips,Kettle
8198701234564,Pâte d'arachide,Artesto
5053990101573,Pringles Sare,Pringles
8719200269743,Flora Buttery,Flora
7300400481571,wasa,"Barilla,Wasa"
7613035676497,Ricoré original,Nestlé
20047559,Greek Style Yogurt,"Milbona, Pilos"
3362600001106,Henry's Sable Coco Biscuit 85G,Henrys
3041090063114,Cracotte,LU
3175681851856,Biscuit raisins,Gerblé
5000157076410,Seriously Good Times Mayonnaise,Heinz
6111266962446,6111266962446,
6111180003102,Mayfine,
7613287431943,Nesquik Cocoa,Nestlé
3229820794525,Nutri+ avoine chocolat,Bjorg
5053990156009,Pringles Original,Pringles
3061990143365,Biscuits goût chocolat,BN
5025125000150,Everyday White Rolls,Jason's
5013665112235,Organic Chicken Stock Cubes 8 Pack,Kallø
3045320094008,Strawberry Jam,Bonne Maman
5000168036755,digestives,McVitie's
6111206000696,,DANONE
3228857001231,Harrys brioche tressee nature au sucre perle sans additifs 500g,Harrys
5000108022152,Quaker Rolled Oats,Quaker
8720182556738,Maille Moutarde Fine de Dijon L'Originale Bocal 360g,Maille
6153153,Tartines craquantes quinoa - pois chiche,Jardin Bio
8410076610737,Protein Cacahuetes🥜 & Chocolat🍫,Nature Valley
5013665108801,Crunchy Peanut Butter,Whole earth
6111246950845,,Jibal
20202392,Brazil Nuts,"Alesto, Lidl, Lidl Alesto"
3412290070101,Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,"Le Fromage Fouetté Madame Loïk, Paysan breton"
6111162001201,Delicia double concentre de tomates,Delicia
6111250473453,Vip crema gold,VIP
5013665111610,Lightly Salted Low Fat Corn Cakes,Kallø
6111251420272,Aïn Ifran Eau minérale naturelle,Ain ifrane
3327272107259,Menguy's Beurre de cacahuètes creamy,Menguy's
6111035001383,Eau minerale,Sidi ali
3228857000166,100% mie complet 500g,Harrys
7622201133337,Figolu,LUMondelez
5010044000701,Crumpets,Warburtons
5016084000374,Nutritional Yeast Flakes,Engevita
8434165466333,Krit krititas galletas saladas,"Cuétara, Krit"
6111259347021,,
6111184000657,Star Mayonnaise,Star
6111259093140,,
3229820787015,BjORG AMANDE ALMOND SANS SUGRES- NO SUGAR,Bjorg
8410376026962,Digestive Avena Choco,Gullón
8410376009415,Chip Choco Zero Sin Azúcares,Gullón
6111162000723,Délicia - Confiture d'abricot,Delicia
3155251205302,Tartine doux,Primevère
8719200012608,ProActiv Margarine Tartine,ProActiv
5411188116592,Délicieuse & Tropical Coco,alpro
6111175000741,41022,
6111242102019,flan caram jao dan,Jaouda
6111180007339,,
3366321051983,Oméga 3® Doux,"St Hubert, St hubert omega 3"
8410076601131,Crunchy avoine et miel,Nature ValleyGeneral Mills
90338243,Coca-Cola original taste,Coca-Cola
5060337220415,kefir drink original,Biotiful gut health
6111032002925,Yaourt Nature,Danone
5025125000105,No. 6 Sourdough Majestic Malted,Jason's
6111242380219,,حلال
3175680011534,Biscuit lait chocolat,"Gerblé,Gerblé Vitalité,Nutrition & Santé"
5411188119098,Natur mit Kokosnuss,Alpro
3229820782560,"Muesli SuperFruits Raisins, cassis,cranberry, myrtille",Bjorg
4014400400007,,STORCK
680569854124,Fermented Coconut Yoghurt Alternative,The Coconut Collab
6111028000980,Kiri carré 8p,Kiri
8410076601148,Crunchy Avoine & Chocolat Noir x 5 x 2 barres de 21 g,"General Mills,Nature Valley"
4088600327587,Dark Rye Sourdough,Specially Selected
3504182960123,Tomates cerises allongées,Azura
3175681105423,Cookie🍪 cacao pépites Sans Sucre,Gerblé
8720182460721,Amora Moutarde Forte Bocal 430g,Amora
5036589255598,Organic Natural Yoghurt,Yeo Valley
5201054017418,Fage Total 0% Yogurt,Fage
5060228323799,Ramona's Heavenly Houmous,Ramona's
6111266960336,Perly fromage,perly
3159470000120,Corn Flakes,Kellogg's
5410126716016,Biscoff,Lotus
5059697710001,Dark milk chocolate,Tesco
3392460480827,Biscottes 6 Céréales,Heudebert
3175680011442,Biscuit soja orange,Gerblé
5000168198491,Sablés Anglais L'Original,"McVitie's,United Biscuits"
16811207,petit déjeuner miel et pépites de chocolat,belvita
1318180,MULTISEED WHOLEMEAL FARMHOUSE LOAF,Sainsbury's taste the difference
3229820021027,P'tit Nature Complet,Bjorg
3068320120256,Eau minérale naturelle,Evian
7394376616501,Haferdrink Barista,Oatly
3046920029674,Excellence À la Pointe de Fleur de Sel Noir,Lindt
6111099000247,Hule D'olive,زيت الزيتون واد سوس
3017620421006,Pâte à tartiner Nutella noisettes et cacao - 750g,Ferrero
8076800195057,SPAGHETTI N° 5,"BARILLA NORGE ASbarilla,Barilla"
3046920010047,Excellence Noir Corsé 78% Cacao,Lindt
4006985906203,Cacao en Poudre Non Sucré,Van Houten
3124480191182,PET 2L OASIS TROPICAL,"Oasis,Orangina Schweppes France"
5053990161669,Картофельные чипсы со вкусом парики,pringles
6111242107380,Press up,
3228857001378,Brioche moins de sucre,Harrys
6111032006749,Danette chklat,Danette
6111252422008,AQUAFINA,
6111262821150,,
3664346312936,Pâte à tartiner,Poulain
5057967395071,White Sourdough,Tesco Finest
6111032010135,double zéro Cerise,Danone
8715700407760,Tomato Ketchup BIO,Heinz
4056489141877,Huile d'olive vierge extra,"Lidl,Primadona"
5449000015105,Sprite,Sprite
6111250474191,vinaigre de table blanc,efor
3302740087059,Les tranches Végé - lentilles corail,Fleury Michon
3760049794298,Pain de mie Bio grandes tranches céréales & graines 500g,La Boulangère
8410111211202,Atun,Isabel
3168930009078,Flocons d'avoine complète,Quaker
3017760542890,Pain grillé au blé complet,LU Pelletier
3272770098090,St Môret,St Môret
3168930163480,Alvalle Gazpacho l'original,Alvalle
6111180007650,Cacao,Idéal
4056489216162,High Protein Chocolate Flavour Pudding,Milbona
5053990167807,Pringles Original,"Kellogg's, Pringles"
5060198641251,Organic Piadina 4 Wholeblend Flatbreads with Extra Virgin Olive Oil,Crosta & Mollica
5013665115373,Lentil & Pea Veggie Cakes - Beetroot & Balsamic,Kallø
6111184004716,Star moutarde,Star moutarde de Dijon
6111025120605,Chocolat monogram,Macao
3229820181950,Fourrés Chocolat au Lait,Bjorg
5053990107339,Pringles,Pringles
6111024002186,Houilor,Huilor
5010477348357,Country Crisp 4 noix,Jordans
4008713756661,Copos de avena,Brüggen
6111021026000,Double concentré de tomates,Aicha
8712100338694,Maizena Fleur de Maïs Sans Gluten 400g,"Maïzena, Unilever"
4056489039518,Petit Pains Grillés Blé complet,Maître Jean Pierre
6111017007013,Caobel,Aiguebelle
7613035530799,NESQUIK Moins de Sucres,"Nestlé, Nesquik"
3083681095296,Ratatouille Cuisinée à la Provençal,Cassegrain
4088600060880,Authentic Greek Yogurt,Brooklea
6111032004455,Dan up,Danone
6111032006718,,Danone
6111162001164,Delicia,Délicia
5014213711290,Crunchy Peanut Butter,"Meridian, Meridian Foods"
5000165024014,Pure Irish Butter,Kerrygold
5060092690331,Real Mayonnaise,Stokes
5051399182506,Chickpeas In Water,Tesco
