brand,product_code
"1001 Delights (Lidl), Envia, Lidl, Milbona, Milbona (Lidl)",1
"1540 Vestby, Norwegen, Oluf Lorentzen AS, Toveien 22, Mutti",1
"166, 43122 Parma - Italy, Barilla, Barilla - Barilla G. e R. Fratelli - Società per Azioni - Via Mantova, 166 Barilla",1
1664,1
"1664 Blonde, Kronenbourg",1
2 KEEP NATURAL BITES,1
2025,1
"25l, Red Bull, Zero 0, RedBull",1
2KEEP,1
2keep,1
"3D's Bugles, BENENUTS, LAYS, Lay's",1
"3D's Bugles, BENENUTS, LAYS, PepsiCo",1
7 DAYS,1
7 up,1
7up,1
8dh,1
A.Vogel,1
"A.Vogel, Bioforce",1
ACCRO,1
ACENTINO,1
ACTION,1
ACTIVIA,1
AFIA,2
AGIDRA,1
AL ITKANE,1
"ALDI Alpenmark, Alpenmark, Hofburger, ALDI",1
ALHORRA,1
ALPRO,2
AM/63,1
ANDROS,1
AQUAFINA,1
ARIZONA,1
ARLA,1
"ARVID NORDQUIST NORGE AS, ARVID",1
ASDA,2
"AUCHAN, Auchan Bio",1
"Aachener Zucker und Backwaren Paul Schaeffer, Favorina, Lidl",1
"Aachener Zucker- und Backwaren Paul Schaeffer, Lidl, Sondey",1
Abram Lyle & Sons,1
"Abram Lyle & Sons, Lyle, Tate and Lyle",1
Abram Lyle & sons,1
Accro,2
Ace,1
"Acecrem Srl, Acentino, Acetaia Giuseppe Cremonini Srl",1
Acentino,1
Acti Leaf,2
Actileaf,2
"Actimel, Danone",1
"Actimel, danone",1
Action,1
"Activa, Danone",1
Activia,3
Activia Gut Health,1
"Activia, Activia 0%, Danone",1
"Activia, Activia yoghurt cereals/fibres, Danone",3
"Activia, Activia yoghurt flavours, Danone",1
"Activia, Activia yoghurt fruits, Danone",1
"Activia, Activia yoghurt nature, Danone",4
"Activia, Danone",1
"Activia,Danone",1
Aerzener,1
After Eight,1
"Agidra,Savino",1
"Agir Carrefour, Carrefour, Carrefour City",1
Aicha,9
Aiguebelle,19
Ain Soltane,1
Ain atlas,1
Ain ifrane,1
Ainsley Harriott,1
Aknaz,3
Al Boustane,3
Al janoub,1
Al'Fez,1
Al'fez,1
Alara,1
Alaska,1
Albalact,1
Albane,3
"Albane, Best Milk",1
"Alcafé, Whole Earth",1
Aldi,65
Aldi Bramwells,1
Aldi Cucina,1
Aldi Everyday Essentials,1
Aldi Savoury Bakes,1
Aldi Specially Selected,1
"Aldi, ALDI MOSER ROTH, Moser Roth",1
"Aldi, Asia Specialities",1
"Aldi, Bayernland, Hofburger",1
"Aldi, Bramwells",2
"Aldi, Golden Bridge",1
"Aldi, Goldähren, Lieken",1
"Aldi, Karwendel, Milsani",1
"Aldi, Milsani, 09 x Aldi 09.25",1
"Aldi, Milsani, Milsani Aldi",1
"Aldi, Milsani, Molkerei Gropper",1
"Aldi, Petit pré",1
"Aldi, Simplement Bon Et Bio",1
"Aldi, Simplement Bon et Bio",1
"Aldi, Specially Selected",2
"Aldi, Summa",1
"Aldi, Süssli",1
"Aldi, The Deli",1
"Aldi,ALDI Moser Roth,Moser Roth",1
"Aldi,Acti Leaf",1
"Aldi,Asia Specialities",1
"Aldi,Brooklea",1
"Aldi,Choceur,WIHA",1
