product_name,brand,sugars
Prince Goût Chocolat,Lu,32.0
Nutella,Ferrero,56.3
Confiture de fraise,Délicia,63.0
Nutella,Ferrero,56.3
Cosumar Sucre En Lingot Pour Le Thé 1 kg,COSUMAR,100.0
,Maruja,50.0
KING COOKIES,Excelo,32.0
Nocciolata,Rigoni Di Asiago,51.0
Pâte à tartiner noisettes et cacao,Bonne Maman,51.0
Confiture De Fraises 430 G,El Baraka,62.0
Nocciolata bio,Rigoni di Asiago,51.0
Confiture d'abricot,Delicia,50.0
poulain,Poulain,59.0
,Idéal,89.4
Nutella,"Ferrero, Nutella",56.3
Merendino,"Bimo,Mondelez",39.0
Biscuits croquants au coeur onctueux de Nutella®,nutella,35.8
1848 Chocolat en poudre,Poulain,61.0
El Baraka Confiture D'abricots 430 G,el baraka,50.0
nutella,"Ferrero,Nutella",56.3
Trios,Aperitivos company,54.0
Nutella,Ferrero,56.0
nutella,Ferrero,56.3
Kinder Bueno 2 Bars,"Kinder,Kinder Bueno",41.2
Nestlé Dessert,Nestlé,46.4
Nutella,"Ferrero,Nutella",56.3
Chocolat au lait,Milka,55.0
King cookies choco,Excelo,31.2
Sirop d'Agave,Sunny Via,395.0
Peripella,Peripella,52.0
Nesquik,Nestlé,75.1
Sirop d'érable ambré goût riche,Maple Joe,66.0
Nutella,Ferrero,56.3
Biscoff Creamy,Lotus,36.8
Fruit & Nut Mix,"Alesto,Lidl",35.7
Runny Honey imp,Rowse,80.8
Nesquik Cocoa,Nestlé,75.0
Strawberry Jam,Bonne Maman,59.0
,,37.0
,,86.1
,حلال,51.0
,STORCK,48.8
Biscoff,Lotus,38.1
Dark milk chocolate,Tesco,33.6
Excellence À la Pointe de Fleur de Sel Noir,Lindt,48.0
Pâte à tartiner Nutella noisettes et cacao - 750g,Ferrero,56.3
Pâte à tartiner,Poulain,59.0
Chocolat monogram,Macao,53.0
Caobel,Aiguebelle,79.9
180G C OR NOIR NOISETTE,"Côte D’Or, Mondelez",40.0
Le Choco,"Nestlé, Le chocolat",65.8
Doce Extra Fresa Morango,"Lidl,Maribel",57.7
nutella,Ferrero,56.3
Barres de fruits secs & noix Myrtilles,nakd,49.0
Tagger,Bimo,47.0
Pâte à tartiner noisette du Lot et Garonne cacao,Lucien Georgelin,55.0
,Délicia,61.33
Kinder Bueno White,Kinder,43.9
NESQUIK Cacao,"Nestlé, Nesquik",75.1
Nocciolata - Pâte à tartiner au cacao et noisettes,RIGONI DI ASIAGO BIO,53.0
Nesquik,"Nestlé,Nesquik",75.1
Petits fours financiers,,31.6
merendina big,bimo,38.0
Raspberry Conserve,Bonne Maman,57.0
