product_code,product_name,brand,energy_kcal,energy_kj,carbohydrates,sugars,fat,saturated_fat,proteins,fiber,salt,sodium,fruits_veg_nuts,nutrition_score_fr,nova_group,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
6111035002175,Sidi Ali,sidi ali,,,,,,,,,65.0,26.0,0.0,0.0,1.0,,Unknown,Unknown,No
6111035000058,Eau minérale naturelle,"Les Eaux Minérales d'oulmès,Sidi Ali",,,,,,,,,65.0,26.0,0.0,0.0,1.0,,Unknown,Unknown,No
6111035003035,Oulmes natural carbonated water,Les eaux minérales d'Oulmès S.A.,,,,,,,,,0.78375,0.3135,0.0,0.0,,,Unknown,Unknown,No
6111035001659,Ain Atlas,Eau minérale naturelle des Montagnes d'Atlas,,,,,,,,,0.0,0.0,0.0,0.0,,,Unknown,Unknown,No
6111128000460,,aïn Saiss,,,,,,,,,0.02,0.008,0.0,0.0,1.0,,Unknown,Unknown,No
6111184001562,Star Branded Iodized Salt,Star,,,0.0,0.0,0.0,0.0,0.0,0.0,99.0,39.6,0.0,,2.0,,Unknown,Low Sugar,No
6111018903161,Nescafé Classic,Nestlé,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
5449000206770,Eau de table,Ciel,,,0.0,0.0,0.0,0.0,0.0,0.0,62.5,25.0,0.0,0.0,,,Unknown,Low Sugar,No
6111245591063,Dalaa 550 feuilles,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
7322540548563,jempo,,,,,,,,,,,,,,,,Unknown,Unknown,No
7640154260283,,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6111246651261,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111035001024,Oulmès eau minerale naturellement gazeuse,ولماس ماء معدني غازي طبيعي,,,,,,,,,785.0,314.0,0.0,0.0,1.0,,Unknown,Unknown,No
6111259093140,,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6111175000741,41022,,,,,,,,,,,,,,,,Unknown,Unknown,No
3504182960123,Tomates cerises allongées,Azura,,,,,,,,,,,100.0,-5.0,1.0,,Unknown,Unknown,No
6111252422008,AQUAFINA,,,,,,,,,,0.0,0.0,0.0,0.0,,,Unknown,Unknown,No
7613035530799,NESQUIK Moins de Sucres,"Nestlé, Nesquik",,,,,,,,,,,0.0,5.0,4.0,,Unknown,Unknown,Yes
6111032006718,,Danone,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
3067140013120,Chicorée soluble nature,Leroux,,,,,,,,,,,100.0,,1.0,,Unknown,Unknown,No
3254380008430,"CRISTALINE Eau De Source Pétillante 1,5L",Cristaline,,,,,,,,,11.25,4.5,0.0,0.0,1.0,,Unknown,Unknown,No
9111445000430,eau minérale,Sidi Ali,,,,,,,,,,,,0.0,1.0,,Unknown,Unknown,No
7613036249928,eau minerale,"Nestlé, Nestlé Waters, Vittel",,,,,,,,,0.013,0.0052,0.0,0.0,,,Unknown,Unknown,No
6111259733749,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111242070783,,سنطرال,,,,,1.5,,,,,,0.0,,,,Unknown,Unknown,No
6111245370064,Levure,Sboula,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
6111243002493,Samar Gusto Coffee 45g,samar,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
5011321361058,,,,,,,,,,,,,,,,,Unknown,Unknown,No
4056489361855,Miel crémeux français & responsable,Maribel,,,,,,,,,,,0.0,19.0,2.0,,Unknown,Unknown,No
6111260232095,El Mejor chef fromage 16p,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6111243640831,شاي النسمة,JANAH FRERES,,,,,,,,,,,,,,,Unknown,Unknown,No
6111242106277,Jutos cocktail,Jaouda,,,,,,,,,,,12.0,,4.0,,Unknown,Unknown,Yes
3664346305990,Grand Arôme 32% de Cacao,Poulain,,,,,,,,,,,0.0,16.0,4.0,,Unknown,Unknown,Yes
6111035001710,Ain atlas 33cl,Les Eaux Minérale D'Oulmès,,,,,,,,,120.0,48.0,0.0,0.0,1.0,,Unknown,Unknown,No
6111271800016,,,,,,,,,,,35.75,14.3,,0.0,1.0,,Unknown,Unknown,No
7613035833272,Perrier,"Nestlé, Nestlé Waters, Perrier",,,,,,,,,24.13,9.652,0.0,0.0,1.0,,Unknown,Unknown,No
6111035503153,,,,,,,,,,,,,,,,,Unknown,Unknown,No
80177609,Kinder Chocolate,Chocolate,,2352.0,53.5,53.5,35.0,22.6,8.7,,307.5,123.0,0.0,33.0,4.0,1.0,Unknown,High Sugar,Yes
7622201444327,,clorets,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6111265930385,6111265930385&quot;,,,,,,,,,,,,,,,,Unknown,Unknown,No
5000127142190,All-Bran Original,"Kellogg,Kellogg's",,1400.0,48.0,18.0,3.5,0.7,14.0,27.0,0.95,0.38,0.0,8.0,3.0,0.38,Unknown,Moderate Sugar,No
6221007032540,Cerelac,Nestle,,,71.2,0.0,10.0,0.0,15.0,2.5,0.51,0.204,0.0,,,0.0,Unknown,Low Sugar,No
6111128001115,Ghayt,,,,,,,,,,25.0,10.0,0.0,0.0,1.0,,Unknown,Unknown,No
6111264153709,,,,,,,,,,,,,,,,,Unknown,Unknown,No
1091205,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111271800030,Eau de source naturelle La Source,Aïcha,,,,,,,,,35.75,14.3,0.0,0.0,1.0,,Unknown,Unknown,No
6111184002255,Vinaigre de table Blanc - Star,Star,,,,,,,,,,,,,2.0,,Unknown,Unknown,No
6111056014522,,,,,,,,,,,,,,,,,Unknown,Unknown,No
8720608632633,lipton yellow label tea x25,Lipton,,,,,,,,,,,,,,,Unknown,Unknown,No
402004014227,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111243570138,,,,,,,,,,,,,,,,,Unknown,Unknown,No
8718836397110,Premium Omega-3,Ocean's Essentials,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
5449000044808,,"Schweppes,Coca Cola",,84.9,4.56,4.56,0.0,0.0,0.0,,13.0,5.2,0.0,8.0,4.0,1.0,Unknown,Low Sugar,Yes
6118000040361,Chargement…,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6111259375628,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6118000090762,rinomicine,Rinomicine,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6194007510014,eau minérale naturelle,Sabrine,,,,,,,,,152.5,61.0,0.0,0.0,1.0,,Unknown,Unknown,No
3183280000728,Sel Moulu de Méditerranée,la baleine,,,,,,,,,97.7,39.08,0.0,,2.0,,Unknown,Unknown,No
6111032007968,Crème caramel,Danone,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
4005808173457,,,,,,,,,,,,,,,,,Unknown,Unknown,No
7622100977063,,,,,,,,,,,,,,,,,Unknown,Unknown,No
8718481351000,Aloe vera,2025,,,,,,,,,,,,,,,Unknown,Unknown,No
6111271800023,العين,la source,,,,,,,,,,,0.0,0.0,,,Unknown,Unknown,No
20022952,Eau de source,Saguaro,,,,,,,,,9.25,3.7,0.0,0.0,1.0,,Unknown,Unknown,No
6111243570169,Matina,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
6111032007043,beurre central 1kg,Centrale,,,,,,,,,,,0.0,20.0,2.0,,Unknown,Unknown,No
6118000041566,DoliGrippe,,,,,,,,,,,,,,,,Unknown,Unknown,No
3254381025887,CRISTALINE Eau De Source 1L,Cristaline,,,,,,,,,4.75,1.9,0.0,0.0,1.0,,Unknown,Unknown,No
6111018908999,nido,Nestlé,,,,,,,,,,,0.0,21.0,,,Unknown,Unknown,No
4388860015324,Süßstoff,"Rewe, ja!",,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
6111203003430,Cheesy fromage,Margafrique,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
7613037792935,Nan optipro,Nestlé,,,,0.0,,0.0,,,,,,,,,Unknown,Low Sugar,No
6111046003109,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6111270030018,Pikota,,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
5054563100108,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6194039501011,Eau minérale naturelle,Hayet,,,0.0,,0.0,0.0,0.0,0.0,39.05,15.62,0.0,0.0,1.0,,Unknown,Unknown,No
6111099000179,,Lousra,,,,,,,,,,,,,,,Unknown,Unknown,No
40063690,,,,,,,,,,,,,,,,,Unknown,Unknown,No
6194001800111,Safia,"Safia,Sfbt,صافية",,,,,,,,,55.0,22.0,0.0,0.0,1.0,,Unknown,Unknown,No
3088540502663,Miel de Montagne,"Bernard Michaud, L'Apiculteur",,,,,,,,,,,0.0,19.0,2.0,,Unknown,Unknown,No
6111265980243,,,,,,,,,,,,,,,,,Unknown,Unknown,No
5000354800931,Ambrosia Rice pudding,Ambrosia,,417.0,15.8,8.9,2.2,1.3,3.2,0.0,0.13,0.052,0.0,3.0,4.0,0.56,Unknown,Low Sugar,Yes
6111242600553,,Reda Food,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
3448781100002,Wattwiller,Wattwiller,,,,,,,,,7.5,3.0,0.0,0.0,1.0,,Unknown,Unknown,No
8436026215203,,,,,,,,,,,,,,,,,Unknown,Unknown,No
61232200545,Fine milled oatcakes,Nairn's,,1993.0,55.0,0.9,19.9,8.6,10.9,9.6,1.67,0.668,0.0,16.0,3.0,0.02,Unknown,Low Sugar,No
