product_name,brand,salt
Sidi Ali,sidi ali,65.0
Eau minérale naturelle,"Les Eaux Minérales d'oulmès,Sidi Ali",65.0
Eau De Source,Cristaline,52.5
Marmite Yeast Extract,"Marmite,Unilever",10.8
Ain Atlas,Eau minérale naturelle,120.0
Mayonnaise recette originale,Star,1.75
Cheddar,la Hollandaise,1.5
Star Branded Iodized Salt,Star,99.0
Oulmes Eau Gazeuse,Oulmès,783.75
BEANZ In a rich tomato sauce,HEINZ,5.9
Eau Minérale Naturelle,Volvic,30.0
Eau de table,Ciel,62.5
,Star,5.0
Sojasauce,Kikkoman,16.9
Mayonnaise,Star,1.75
FIBRES,Wasa,1.2
Krisprolls complets sans sucres ajoutés,Krisprolls,1.1
14 Maxi Tranches complet sans sucres ajoutés,Jacquet,1.2
PESTO alla GENOVESE,Barilla,3.2
,Star,2.2
Vegan Bouillon powder,Marigold,43.8
La salvetat,"Danone,La Salvetat",12.5
Trios,Aperitivos company,2.0
Nutella,Ferrero,1.07
Carré Frais,Elle & Vire,1.2775
Pain De Mie Bio,"La Boulangère,La Boulangère Bio",1.1
Sardines Huile d'Olive Vierge Extra,Parmentier,1.2
Eau minérale naturelle,Mont Roucous,7.5
Tomato Ketchup,Heinz,1.8
Moutarde 10.50 g,Star,6.54
Tomato Ketchup,Heinz,1.8
Tomato Ketchup,Heinz,1.8
Real Mayonnaise,Hellmann's,1.18
Vegetable Fat Spread with 10% Olive Oil,Bertolli,1.1
Pesto Rosso,Barilla,2.8
Carré Frais - Nature,Elle&Vire,1.2
La gâche tranchée,La Fournée Dorée,1.12
Bol Bol Ketchup,Bol&Bol,3.5
Tranches Au Goût Cheddar,Ideal,3.25
Arome MAGGI,"Nestlé, Maggi",18.3
Tartines campagne 450g,La boulangere,1.2
Granola L'Original,"LU, Mondelez International",1.2
Olla,Olla,2.25
Cracotte Céréales Complètes,"lu, LU",1.6
Oulmès eau minerale naturellement gazeuse,ولماس ماء معدني غازي طبيعي,785.0
Flora Buttery,Flora,1.2775
Cracotte,LU,1.7
Seriously Good Times Mayonnaise,Heinz,1.3775
Pringles Original,Pringles,1.1
digestives,McVitie's,1.3
Maille Moutarde Fine de Dijon L'Originale Bocal 360g,Maille,4.9
Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,"Le Fromage Fouetté Madame Loïk, Paysan breton",1.1
Vip crema gold,VIP,1.25
Aïn Ifran Eau minérale naturelle,Ain ifrane,7.62
Eau minerale,Sidi ali,62.5
100% mie complet 500g,Harrys,1.1
Krit krititas galletas saladas,"Cuétara, Krit",1.7
Star Mayonnaise,Star,1.75
flan caram jao dan,Jaouda,4.0
Kiri carré 8p,Kiri,1.6
Amora Moutarde Forte Bocal 430g,Amora,4.9
Perly fromage,perly,1.6
Corn Flakes,Kellogg's,1.1
Biscottes 6 Céréales,Heudebert,1.6
Sablés Anglais L'Original,"McVitie's,United Biscuits",1.3
petit déjeuner miel et pépites de chocolat,belvita,1.4
Картофельные чипсы со вкусом парики,pringles,1.2775
,,1.25
Tomato Ketchup BIO,Heinz,1.7
Les tranches Végé - lentilles corail,Fleury Michon,1.8
Pain de mie Bio grandes tranches céréales & graines 500g,La Boulangère,1.2
Atun,Isabel,1.2
Pain grillé au blé complet,LU Pelletier,1.8
St Môret,St Môret,1.2
Organic Piadina 4 Wholeblend Flatbreads with Extra Virgin Olive Oil,Crosta & Mollica,1.18
Star moutarde,Star moutarde de Dijon,6.54
Pringles,Pringles,1.1
Pure Irish Butter,Kerrygold,1.77
HP Sauce Original imp,HP Foods,1.2
Classic Torinesi Breadsticks,Crosta & Mollica,2.1
Harrys pain de mie 100% mie nature sans croute 500g,Harrys,1.1
Anchor spreadable,Anchor,1.1
Vegan Spread,Flora,1.2775
Digestive Avena,Hacendado,1.1
Coulommiers Doux et Crémeux,"CF&R,Cœur de Lion,Savencia",1.5
"CRISTALINE Eau De Source Pétillante 1,5L",Cristaline,11.25
Sea salt & cider vinegar chips,Tyrrell’s,1.77
Tomato Ketchup 910g,HEINZ,1.8
,,4.0
Finn Crisp,"Finn Crisp, LANTMANNEN CEREALIA AS",1.4
meat feast pizza,co op,2.2325
Caprice des dieux,caprice des dieux,1.3775
Le Goût Primeur format familial,"Savencia, St Moret",1.2
Sour Cream & Onion,Pringles,1.3
PROPERCHIPS Sea Salt Lentil Chips,Proper,1.84
PRESIDENT CAMEMBERT 250g,"Lactalis, Président",1.4
Pringles Original,Pringles,1.1
63% fat spread with buttermilk,Clover,1.475
Pain de mie american sandwich complet sans sucres ajoutés 600g,Harrys,1.1
Coca-Cola slim 25cl,Coca-Cola,52.0
Levure chimique en poudre,alsa,3217.5
Les Tranches Végé Pois chiches,Fleury Michon,1.8
Middle Eastern Plant-Based Falafels,Cauldron,1.3
Piadina,Crosta & Mollica,1.475
Pesto alla Genovese,Barilla,3.1975
Guacamole,Hacendado,1.5
Mature Cheddar,Cathedral City,1.77
HERTA LE BON PARIS Jambon à l'étouffée sans nitrite x4-140g,"HERTA, Le Bon Paris",1.54
Vitalite Dairy Free Spread,Vitalite- suitable for Vegan,1.5
Flora Natural Ingredients Lighter,Flora,1200.0
Pesto Classic Basil,Saclà,2.655
La bûche Sainte-Maure (Poitou-Charentes,Soignon,1.5
Pesto con Rucola,Barilla,3.0
Tomato Ketchup,"Heinz, Heinz / Coop",1.8
Cream Crackers,Jacob’s,1.3
Atun C / Tomate Isabel,Isabel,1.175
Pistaches de Californie,"Alesto, Lidl",1.74
Organic Crisp Bread,DR KARG'S,1.8
Boursin garlic & herbs,Boursin,1.23
Brioche Tranchée Recette Classique,Harrys,1.1
Dijon Originale,Maille,4.9
Gnocchi à poêler,"Lustucru,Lustucru selection",1.1
Peanut butter Creamy,Skippy,1.0825
Italian Original Breadsticks,Tesco,1.8
Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,"Le Fromage Fouetté Madame Loïk, Paysan breton",1.1
Ain atlas 33cl,Les Eaux Minérale D'Oulmès,120.0
Whole Grain Rye Bread,Schneider Brot,1.15
,,35.75
Perrier,"Nestlé, Nestlé Waters, Perrier",24.13
Pork Sausages,Heck!,1.6
Cheese Oatcakes,nairn's,2.8
Sour Cream & Onion®,Pringles,1.2
Raw kimchi,Vadasz,2.065
Belvita Brut & 5 céréales complètes,Lu,1.4
Kinder Chocolate,Chocolate,307.5
Kiri-Käse,Kiri,1.3
Salsa de Soja,Kikkoman,17.1
Miettes de Maquereaux à la sauce tomate et aux épices,Joly,1.25
Kiri carré 36,Kiri,1.6
Tartines de Pain Blé Complet,Brioche Pasquier,1.5
Kiri® Crème 12 portions,Kiri,1.3
Pain AMS complet,Harrys,1.2
Heudebert Fibre +,Heudebert,1.1
,Crownfield,1.95
Frommage fondu,REWE Beste Wahl,1.2
Krisprolls complets,Pågen,1.6
Tartines céréales 450g,La Boulangère,1.1
Pain de mie complet,Ekmek,1.05
Baked Beans In Tomato Sauce,Tesco,1.05
Ghayt,,25.0
AMORA Ketchup Flacon Souple 550g,Amora,2.0
Tortillas de trigo integrales,Hacendado,1.5
salsa di soia a tasso ridotto di sale,"HAUGEN-GRUPPEN AS, Kikkoman, Kikkoman - Kikkoman K.K.",9.1
,Ladid,3.25
Biscottes Sans sucres ajoutés Blé complet,Pasquier,1.1
HERTA Knacki Veggie Saucisses végétales x6 -210g,"Herta,Knacki",1.34
Tosta PAN FIBRA & SÉSAMO,Hacendado,1.13
Nouilles instantanées goût poulet,Indomie,3.22
Eau de source naturelle La Source,Aïcha,35.75
Bjorg amande,Bjorg,50.0
Blanc de Poulet,Fleury  Michon,1.475
mayonnaise de Dijon,amora,1.8
Panzani - spf - sauce pesto vert 200g,Panzani,2.8
Pringles,Pringles,1.2
Pelotazos futebolas,Cheetos,1.6
La vache qui rit,La vache qui rit,1.7
Cuetara Digesta Light 200G Marie Cookies,Cuétara,850.0
No Artificial Additives 6 Pork Sausages,Naked,1.31
Le Supérieur - à l'Etouffée - Conservation sans Nitrite,Fleury Michon,1.5
Piadina midi flatbread,Piadina,1.5
L'original tartare ail & fines herbes,"Fromarsac, Savencia, Tartare",1.1
,Philadelphia,1.06
Classic Chicken Soup,Covent Garden,1.4
Marhaba,,5.0
Press Up moyen,Jaouda,2.5
la hollandaise,la hollandaise,1.5
Pelotazos,Cheetos,1.6
Colman's Mustard,Colman's,8.4
Butter,Lurpak,1.18
Houmous extra - Pois chiches français & graines de sésame,L'atelier Blini,1.16
Azeitonas Lidl,Baresa,3.0
Marmite Yeast Extract,Marmite,1.188
marmite,Marmite,10.8
Magnesium,Mivolis,14.9
Corn Flakes,Kellogg's,1.1
Heinz Baked Beans,Heinz,1.2775
Smoky Spanish-Style Grains & Rice,Merchant Gourmet,1.2
Moutarde,,6.7
,Nestle,195.0
Pan de molde con 52% centeno,Hacendado,1.3
Lea and perrins,Lea & Perrins,2.8525
Corn Flakes,Kelloggs,1.1
Aquafina,Pepsi cola,5.0
fanta tops lemon 1.5l,,16.0
كريميو,Cremio,4.25
Véritable petit beurre,"LU, Mondelez, Mondelez international",1.3775
Le Beurre Tendre Demi-Sel Barquette,"Elle & Vire, Savencia",2.0
"9 Minis St Moret (17,8% MG)","Savencia, St Moret",1.3
Dijon Originale,Maille,5.0
,"Schweppes,Coca Cola",13.0
Pringles Texas BBQ 165g ajman,Pringles,1.0825
Leerdammer original 8 tranches 200g,Leerdammer,1.5
Real Mayonnaise,Hellmann's,1.2
La Biscotte 96% de céréales,Heudebert,1.2
Chips saveur fromage du Jura,Brets,1.7
Lala kheddidja,cevital,5.5
Crunchy Peanut Butter,Whole Earth,1.0825
Margherita Sourdough Pizza,Crosta & Mollica,1.18
Extra moelleux nature,HARRYS,1.18
Chips de lentilles saveur tomate mozza,"Natu' & Bon,Vico",1.1
HP the Original Brown Sauce,HP Sauce,1.3
Herbamare original,A.Vogel,93.6
Pain complet,Jacquet,1.2
Spreadable Tub,Country Life,1.3
eau minérale naturelle,Sabrine,152.5
Sel Moulu de Méditerranée,la baleine,97.7
Maxi Tranches Sans sucre ajouté Nature,Jacquet,1.1
Schweppes Agrum',"Orangina Schweppes,Schweppes",3.935
Ketchup,Hacendado,1.8
Tesco British Salted Block Butter,Tesco,1.475
Perly,Perly,1.6
Amora Spécialité à la moutarde de Dijon aux épices et aromates Savora Bocal 385g,"Amora, Unilever",4.7
Worcestershire Sauce,Lea & Perrins,2.9
HERTA LE BON PARIS Jambon sel réduit sans nitrite x4-140g,"HERTA, Le Bon Paris",1.375
Creme a tartiner,Leka c,2.0
Tomato ketchup,Heinz,1.8
babybel,Babybel,1.7
MUSCLY FROMAGE 24,"Jaouda, Copag",1.6
Or Blanc,Or Blanc,4.25
Pain complet 3 céréales,Bjorg,1.1
Geeta's Mango Chutney imp,Geeta’s Foods Ltd,2.0
Meat Free Tasty Sausages,Richmond,1.5
,Amora,1.8
Sriracha,"McIlhenny Company, Tabasco",6.7
Sauce Tomate concentrée cuisinée aux petits légumes,Panzani,2.9
Spreadable,Yeo Valley Organic,1.3
tuc,Tuc,1.9
La bûche fondante,"Lactalis, Président",1.5
Eau de source de montagne Laqueuille,"Marque Repère, Laqueuille",1.5
Eau de source,Saguaro,9.25
Classic Barbecue - Smokey & Rich,Heinz,1.2
Guedila,Guedila,72.5
Thon Joly,"Joly,Doha",1.1684
Mediterranean Falafel,Gosh!,1.4
Durum wheat flatbreads,crosta & mollica,1.475
sel,baleine,97.7
Organic Vegan Block,Naturli',1.18
Anchor Butter,Anchor,1.6725
Organic Bread 21 Whole Grains and Seeds,Dave's Killer Bread,425.0
