product_name,brand,proteins
Marmite Yeast Extract,"Marmite,Unilever",34.0
Lindt Excellence 90%,Lindt&Sprüngli,10.0
70% chocolate,Lindt & Sprüngli,9.5
Sésame,Gerblé,10.0
Sourdough White Ciabattin Bread,Jason’s,10.7
Proper Sourdough,Jason's Sourdough,9.7
Cerneaux de Noix,Alesto,15.5
Sourdough Grains & Seeds,Jason's,10.7
Cheddar,la Hollandaise,9.0
Mandeln,"Alesto,Lidl,Finch",24.5
Cashewkerne,"Alesto, 12 x Lidl 10.25",18.0
Cream cheese,Original,10.0
Organic 70% Dark Chocolate Bar,Green & Black's,9.1
,Alesto Selection,20.4
Tartine croustillante Authentique,wasa,9.0
Excellence Noir Intense 70% Cacao,Lindt,9.5
Nocciolata,Rigoni Di Asiago,8.1
Filets de maquereau,joly,30.1
Excellence Noir Puissant 85% Cacao,Lindt,12.5
,8dh,30.1
extra dark 74% Cocoa,fin CARRÉ,9.9
Pur beurre de cacahuète,"Jardin Bio, Léa Nature",29.0
Sojasauce,Kikkoman,10.0
Skyr nature 0%,Yoplait,9.5
Organic Lightly Salted Wholegrain Low Fat Rice Cakes,Kallo,10.6
Pain de mie grandes tranches Seigle & Graines 500g,La Boulangère,12.0
Nocciolata bio,Rigoni di Asiago,8.1
JASON'S SOURDOUGH 07 SUPERB SPROUTED GRAINS,JASON'S,9.3
FIBRES,Wasa,12.0
Krisprolls complets sans sucres ajoutés,Krisprolls,13.0
14 Maxi Tranches complet sans sucres ajoutés,Jacquet,8.7
cruesly mélange de noix,Quaker,8.5
Vegan Bouillon powder,Marigold,9.6
Tartines craquantes au sarrasin imp,"Ekibio,Le pain des Fleurs",13.4
Be Nuts ! - Pâte à tartiner Cacahuète,Andros,21.0
Pipas,,24.6
Pomme 🍏 🍎 Noisette🥜,Gerblé,9.8
Family Pack,Weetabix,12.0
OAT FLAKES Fine,CROWNFIELD,13.5
4 Garlic & Herb Kebabs,Wicked Kitchen,18.6
Flocons d'avoine,Bjorg,11.0
Tofoo Naked,The Tofoo Co.,16.5
Carré Frais,Elle & Vire,16.0
Kinder Bueno 2 Bars,"Kinder,Kinder Bueno",8.6
Figue & son,Gerblé,9.3
Levure de bière,Gerblé,46.0
Croustillant Chocolat,Bjorg,9.8
Pain De Mie Bio,"La Boulangère,La Boulangère Bio",8.1
Bitter Extra Kraftig,"Lindt&Sprüngli, Lindt",14.0
Sardines Huile d'Olive Vierge Extra,Parmentier,23.0
Pains au lait x10,Pasquier,8.6
Brioche Tranchée Bio 400g,La Boulangère,8.8
Carré Frais - Nature,Elle&Vire,12.0
Beurre bio cacahuète,Ethiquable,26.0
Weetabix produit à base de blé complet 100%,Weetabix,12.0
5% Greek Yogurt,Fage,9.0
La gâche tranchée,La Fournée Dorée,8.1
"Muesli Raisin, Figue, Abricot",Bjorg,11.0
Arome MAGGI,"Nestlé, Maggi",9.8
Menguy's Peanut 100%,Menguy's,28.0
Tartines campagne 450g,La boulangere,8.9
pain de mie grandes tranches spécial sandwich complet,"Maître Jean Pierre, Lidl",8.3
Seeded Sourdough Bread,Specially Selected,9.5
Cracotte Céréales Complètes,"lu, LU",11.0
Fruit & Nut Mix,"Alesto,Lidl",10.8
Special Muesli 30% fruits & noix,Jordans,10.0
Skyr | Natural Fat Free | 0% Fat,Arla,10.0
Pâte d'arachide,Artesto,24.3
wasa,"Barilla,Wasa",9.0
Cracotte,LU,11.0
Biscuit raisins,Gerblé,8.5
Nutri+ avoine chocolat,Bjorg,8.2
Harrys brioche tressee nature au sucre perle sans additifs 500g,Harrys,8.6
Tartines craquantes quinoa - pois chiche,Jardin Bio,9.6
Protein Cacahuetes🥜 & Chocolat🍫,Nature Valley,10.2
Menguy's Beurre de cacahuètes creamy,Menguy's,25.0
Nutritional Yeast Flakes,Engevita,47.0
kefir drink original,Biotiful gut health,8.8
No. 6 Sourdough Majestic Malted,Jason's,9.3
Biscuit lait chocolat,"Gerblé,Gerblé Vitalité,Nutrition & Santé",8.5
